Local Authority,Year,Reception Overweight,Year 6 Overweight,Reception Obese,Year 6 Obese
Barking And Dagenham,2006,13.74465486,16.26916525,14.41661576,20.78364566
Barking And Dagenham,2007,14.88038278,16.58240647,13.49282297,23.91304348
Barking And Dagenham,2008,14.65783664,16.06029106,12.14128035,24.22037422
Barking And Dagenham,2009,13.56986101,15.67382813,14.08193124,23.58398438
Barking And Dagenham,2010,13.9668583,16.99623352,13.83158607,24.24670433
Barking And Dagenham,2011,12.94941139,15.31078611,13.71301304,26.91956124
Barking And Dagenham,2012,12.40333135,15.38461538,13.35514575,24.40911044
Barking And Dagenham,2013,12.6606,15.945,14.159,26.2242
Barking And Dagenham,2014,14.02823671,15.301807,13.45749474,25.25951557
Barking And Dagenham,2015,11.93856853,14.92434663,13.90901188,28.54195323
Barking And Dagenham,2016,12.44111942,14.71917366,12.99528955,29.56746288
Barking And Dagenham,2017,12.7022169,14.54874736,13.09167166,30.03320254
Barking And Dagenham,2018,11.67268351,15.39576689,13.35740072,29.45781386
Barnet,2006,11.4934618,14.55184534,9.222298692,17.4340949
Barnet,2007,11.36898755,13.71134021,8.846283216,18.83161512
Barnet,2008,13.06068602,14.09601634,9.465699208,18.14776983
Barnet,2009,12.65634306,15.13113652,10.57176891,17.51849361
Barnet,2010,12.10576617,14.24491253,9.748327493,19.63584434
Barnet,2011,11.36571952,14.83146067,9.654750993,19.17602996
Barnet,2012,13.37177375,14.56343793,10.1867106,19.06548431
Barnet,2013,11.5364,14.9506,9.4218,19.4135
Barnet,2014,11.04166667,14.64285714,8.958333333,18.36309524
Barnet,2015,10.66925315,14.49679398,8.341416101,20.65793142
Barnet,2016,10.215967,13.85999438,9.172530939,19.00477931
Barnet,2017,11.31123919,14.8596446,8.621517771,18.59387072
Barnet,2018,10.95890411,15.01581893,8.121330724,20.02920419
Bexley,2006,12.12723658,15.12717537,9.542743539,19.36635431
Bexley,2007,10.64030132,15.84415584,9.604519774,20.04329004
Bexley,2008,12.27915194,16.57731959,10.24734982,21.36082474
Bexley,2009,14.50101833,15.84720121,11.48676171,20.61270802
Bexley,2010,14.50951138,15.95532509,11.15255502,21.30035899
Bexley,2011,14.27607155,15.29363785,10.69861627,22.18597064
Bexley,2012,14.44235589,15.3722334,12.3433584,24.30583501
Bexley,2013,16.2943,15.5651,11.1367,22.5264
Bexley,2014,15.01083256,15.17110266,10.182606,21.44486692
Bexley,2015,14.64447806,15.63061444,10.95310136,22.7093065
Bexley,2016,14.02042711,15.54681916,12.50386877,24.48177269
Bexley,2017,12.64667536,15.22646964,10.33246415,21.55477032
Bexley,2018,11.60985488,14.60638634,10.96861289,22.98450838
Brent,2006,10.92654116,14.8015873,10.63122924,22.14285714
Brent,2007,11.48878314,14.62962963,10.63902107,22.44444444
Brent,2008,12.77458601,14.28571429,11.32139236,22.94372294
Brent,2009,11.39929555,14.37884824,11.49535703,21.73125679
Brent,2010,12.13155445,14.26018585,11.57306857,23.69549678
Brent,2011,10.89361702,14.65576005,11.71631206,22.59713701
Brent,2012,11.28133705,16.11515553,11.08635097,23.6929186
Brent,2013,13.0197,16.0639,13.7856,24.4424
Brent,2014,10.91248666,13.47878063,10.13874066,23.93903168
Brent,2015,11.24530327,15.70695553,10.17176597,24.34435576
Brent,2016,14.73767466,15.25801953,13.65673609,28.31241283
Brent,2017,14.86486486,15.7260274,14.7240991,28.05479452
Brent,2018,13.16455696,15.48264642,12.79887482,26.0032538
Bromley,2006,11.86790506,12.46917929,8.359133127,15.46319126
Bromley,2007,10.02621232,12.40926374,7.306684142,15.658486
Bromley,2008,12.34489341,15.54564173,7.349665924,15.95744681
Bromley,2009,12.49609497,14.09138472,8.153701968,17.23055459
Bromley,2010,12.92775665,14.4922426,7.826362484,16.36107193
Bromley,2011,12.85116557,15.6998958,7.441721458,15.63042723
Bromley,2012,13.15075922,14.90958717,7.971800434,17.05902422
Bromley,2013,12.9614,14.5285,8.3402,15.3624
Bromley,2014,12.23039838,14.27224143,7.866023852,16.5356806
Bromley,2015,12.59600614,13.32726169,8.192524322,15.99878567
Bromley,2016,12.52263907,13.35356601,7.684346701,17.42033384
Bromley,2017,11.50908612,13.50574713,8.454042665,15.20114943
Bromley,2018,12.62626263,13.29994435,8.001063264,17.80745687
Camden,2006,11.85921959,12.79933939,9.334353481,21.13955409
Camden,2007,12.39067055,16.4923572,9.620991254,22.12389381
Camden,2008,11.34654819,16.61392405,11.55160629,20.09493671
Camden,2009,11.4010989,15.07692308,11.33241758,22.15384615
Camden,2010,12.55115962,13.7905049,11.11869031,22.45666918
Camden,2011,13.80027739,14.44610778,10.40221914,22.30538922
Camden,2012,11.95724783,13.61538462,8.951235805,21.84615385
Camden,2013,12.2409,13.3094,10.0389,21.0072
Camden,2014,10.96166779,13.46578366,9.414929388,20.82413539
Camden,2015,10.66411239,16.33380884,9.45083014,21.32667618
Camden,2016,11.24661247,15.98857959,9.620596206,23.05496074
Camden,2017,12.482066,14.62029808,7.532281205,21.8594748
Camden,2018,11.10271903,13.9845397,8.761329305,21.50386507
Croydon,2006,12.54061079,13.73820755,11.98830409,19.87028302
Croydon,2007,12.78935185,14.61200586,10.9375,21.22986823
Croydon,2008,12.90764593,14.60440214,11.07152645,21.26710291
Croydon,2009,13.57045144,14.60357255,11.05335157,22.06204951
Croydon,2010,12.40310078,14.92017417,10.55867415,23.33817126
Croydon,2011,12.38367931,15.36697248,11.78716297,22.87844037
Croydon,2012,13.51411425,15.88785047,10.24672149,22.31662419
Croydon,2013,12.1798,15.4853,10.8989,22.8462
Croydon,2014,12.63181019,14.78965247,9.73198594,23.80454664
Croydon,2015,11.06262274,14.36619718,10.18983199,24.48143406
Croydon,2016,13.32473673,14.34705734,10.68128089,23.08663804
Croydon,2017,11.61305042,14.44180523,10.40383299,23.51543943
Croydon,2018,11.78380886,14.24638679,10.43841336,24.52397339
Ealing,2006,11.95693964,15.33149171,11.84159938,21.82320442
Ealing,2007,11.59334126,15.19111402,10.82045184,20.97353806
Ealing,2008,12.52572773,14.41611583,12.08468098,21.87598363
Ealing,2009,12.38866397,15.41377132,12.49662618,20.72015161
Ealing,2010,11.78617992,16.03218818,11.2125163,21.10801609
Ealing,2011,10.97560976,14.5846346,12.56844201,22.17364147
Ealing,2012,11.98459447,15.20361991,10.44404169,22.74509804
Ealing,2013,11.6036,15.2845,10.7914,23.0116
Ealing,2014,11.72161172,14.60770328,9.478021978,23.25249643
Ealing,2015,12.0150482,14.99024798,10.93345874,23.82279186
Ealing,2016,9.91093857,14.97203864,8.563598995,23.48754448
Ealing,2017,11.21140143,13.82153249,10.23752969,23.98157129
Ealing,2018,11.17964534,14.24481031,10.30583398,24.40944882
Enfield,2006,13.15274151,14.91582492,11.91253264,21.44781145
Enfield,2007,11.808,15.15837104,12.96,22.3335488
Enfield,2008,12.84353741,15.74756709,13.27891156,23.00206429
Enfield,2009,13.57466063,15.89285714,12.90923609,22.67857143
Enfield,2010,13.74369859,16.31736527,14.43353675,25.08982036
Enfield,2011,13.73274162,15.88269454,13.09171598,23.7804878
Enfield,2012,13.5979333,15.04170262,12.58806952,24.1012367
Enfield,2013,14.2537,14.8096,12.2139,24.6361
Enfield,2014,12.73745738,15.66072853,10.54554311,25.36559426
Enfield,2015,12.1320038,15.78129049,11.79962013,25.18787251
Enfield,2016,13.71832915,15.37352871,11.32161607,25.27023781
Enfield,2017,12.64727098,15.20137525,12.28660736,25.56483301
Enfield,2018,12.32142857,15.29492455,11.70918367,27.02331962
Greenwich,2006,13.22662174,13.94838001,9.098567818,21.19714443
Greenwich,2007,11.20861588,15.20618557,10.13163143,22.63745704
Greenwich,2008,14.00837457,14.15964701,11.9908641,22.90413157
Greenwich,2009,14.75061903,16.51414309,13.22957198,21.46422629
Greenwich,2010,14.86988848,16.30578878,12.3690436,24.87847989
Greenwich,2011,15.23545706,16.42472003,12.58848877,24.92741601
Greenwich,2012,12.60652366,14.50692747,14.10520129,24.65362673
Greenwich,2013,15,14.9558,13.5799,25.4133
Greenwich,2014,13.45496009,15.37340619,12.82782212,24.48087432
Greenwich,2015,14.02508552,16.19644723,12.99885975,27.72553117
Greenwich,2016,12.59754738,15.00659631,11.67781494,28.03430079
