,area,year,area_code,sports_participation,percentage
0,Barking And Dagenham,2005-2006,00AB,0,0.6810631229235881
1,Barking And Dagenham,2005-2006,00AB,1,0.18826135105204878
2,Barking And Dagenham,2005-2006,00AB,2,0.13067552602436325
3,Barking And Dagenham,2007-2008,00AB,0,0.7028824833702882
4,Barking And Dagenham,2007-2008,00AB,1,0.14855875831485588
5,Barking And Dagenham,2007-2008,00AB,2,0.14855875831485588
6,Barking And Dagenham,2008-2009,00AB,0,0.6499442586399108
7,Barking And Dagenham,2008-2009,00AB,1,0.16945373467112596
8,Barking And Dagenham,2008-2009,00AB,2,0.1806020066889632
9,Barking And Dagenham,2009-2010,00AB,0,0.698394495412844
10,Barking And Dagenham,2009-2010,00AB,1,0.15711009174311927
11,Barking And Dagenham,2009-2010,00AB,2,0.1444954128440367
12,Barking And Dagenham,2010-2011,00AB,0,0.6982857142857143
13,Barking And Dagenham,2010-2011,00AB,1,0.15542857142857144
14,Barking And Dagenham,2010-2011,00AB,2,0.1462857142857143
15,Barking And Dagenham,2011-2012,00AB,0,0.6662830840046029
16,Barking And Dagenham,2011-2012,00AB,1,0.18296892980437282
17,Barking And Dagenham,2011-2012,00AB,2,0.15074798619102417
18,Barking And Dagenham,2012-2013,00AB,0,0.6996547756041427
19,Barking And Dagenham,2012-2013,00AB,1,0.14499424626006904
20,Barking And Dagenham,2012-2013,00AB,2,0.15535097813578827
21,Barking And Dagenham,2013-2014,00AB,0,0.7423728813559323
22,Barking And Dagenham,2013-2014,00AB,1,0.1231638418079096
23,Barking And Dagenham,2013-2014,00AB,2,0.1344632768361582
24,Barking And Dagenham,2014-2015,00AB,0,0.7058823529411765
25,Barking And Dagenham,2014-2015,00AB,1,0.13762486126526086
26,Barking And Dagenham,2014-2015,00AB,2,0.15649278579356268
27,Barking And Dagenham,2015-2016,00AB,0,0.7298474945533769
28,Barking And Dagenham,2015-2016,00AB,1,0.11982570806100216
29,Barking And Dagenham,2015-2016,00AB,2,0.1503267973856209
30,Barnet,2005-2006,00AC,0,0.5862068965517241
31,Barnet,2005-2006,00AC,1,0.239154616240267
32,Barnet,2005-2006,00AC,2,0.17463848720800887
33,Barnet,2007-2008,00AC,0,0.5364963503649635
34,Barnet,2007-2008,00AC,1,0.24209245742092456
35,Barnet,2007-2008,00AC,2,0.2214111922141119
36,Barnet,2008-2009,00AC,0,0.5863636363636364
37,Barnet,2008-2009,00AC,1,0.22045454545454543
38,Barnet,2008-2009,00AC,2,0.1931818181818182
39,Barnet,2009-2010,00AC,0,0.5712656784492588
40,Barnet,2009-2010,00AC,1,0.21436716077537057
41,Barnet,2009-2010,00AC,2,0.21436716077537057
42,Barnet,2010-2011,00AC,0,0.5761124121779859
43,Barnet,2010-2011,00AC,1,0.2505854800936768
44,Barnet,2010-2011,00AC,2,0.17330210772833723
45,Barnet,2011-2012,00AC,0,0.5644599303135889
46,Barnet,2011-2012,00AC,1,0.23228803716608595
47,Barnet,2011-2012,00AC,2,0.2032520325203252
48,Barnet,2012-2013,00AC,0,0.5581920903954802
49,Barnet,2012-2013,00AC,1,0.23389830508474577
50,Barnet,2012-2013,00AC,2,0.207909604519774
51,Barnet,2013-2014,00AC,0,0.5238649592549476
52,Barnet,2013-2014,00AC,1,0.2875436554132712
53,Barnet,2013-2014,00AC,2,0.18859138533178116
54,Barnet,2014-2015,00AC,0,0.5959271168274384
55,Barnet,2014-2015,00AC,1,0.210075026795284
56,Barnet,2014-2015,00AC,2,0.19399785637727762
57,Barnet,2015-2016,00AC,0,0.5508379888268157
58,Barnet,2015-2016,00AC,1,0.25139664804469275
59,Barnet,2015-2016,00AC,2,0.1977653631284916
60,Bexley,2005-2006,00AD,0,0.6338672768878718
61,Bexley,2005-2006,00AD,1,0.18306636155606407
62,Bexley,2005-2006,00AD,2,0.18306636155606407
63,Bexley,2007-2008,00AD,0,0.6334841628959276
64,Bexley,2007-2008,00AD,1,0.22285067873303166
65,Bexley,2007-2008,00AD,2,0.1436651583710407
66,Bexley,2008-2009,00AD,0,0.5944380069524914
67,Bexley,2008-2009,00AD,1,0.22943221320973348
68,Bexley,2008-2009,00AD,2,0.1761297798377752
69,Bexley,2009-2010,00AD,0,0.6530147895335608
70,Bexley,2009-2010,00AD,1,0.19340159271899884
71,Bexley,2009-2010,00AD,2,0.15358361774744028
72,Bexley,2010-2011,00AD,0,0.5808656036446469
73,Bexley,2010-2011,00AD,1,0.21526195899772207
74,Bexley,2010-2011,00AD,2,0.20387243735763094
75,Bexley,2011-2012,00AD,0,0.5986316989737742
76,Bexley,2011-2012,00AD,1,0.24173318129988597
77,Bexley,2011-2012,00AD,2,0.15963511972633979
78,Bexley,2012-2013,00AD,0,0.5974625144175317
79,Bexley,2012-2013,00AD,1,0.19031141868512108
80,Bexley,2012-2013,00AD,2,0.21222606689734716
81,Bexley,2013-2014,00AD,0,0.6224598930481284
82,Bexley,2013-2014,00AD,1,0.19144385026737967
83,Bexley,2013-2014,00AD,2,0.18609625668449195
84,Bexley,2014-2015,00AD,0,0.6355653128430295
85,Bexley,2014-2015,00AD,1,0.2030735455543359
86,Bexley,2014-2015,00AD,2,0.16136114160263446
87,Bexley,2015-2016,00AD,0,0.5929978118161926
88,Bexley,2015-2016,00AD,1,0.18927789934354491
89,Bexley,2015-2016,00AD,2,0.21772428884026254
90,Brent,2005-2006,00AE,0,0.6760722347629796
91,Brent,2005-2006,00AE,1,0.16817155756207672
92,Brent,2005-2006,00AE,2,0.15575620767494358
93,Brent,2007-2008,00AE,0,0.6232718894009216
94,Brent,2007-2008,00AE,1,0.19815668202764977
95,Brent,2007-2008,00AE,2,0.17857142857142855
96,Brent,2008-2009,00AE,0,0.6196531791907515
97,Brent,2008-2009,00AE,1,0.22890173410404618
98,Brent,2008-2009,00AE,2,0.15144508670520232
99,Brent,2009-2010,00AE,0,0.6131968145620023
100,Brent,2009-2010,00AE,1,0.229806598407281
101,Brent,2009-2010,00AE,2,0.15699658703071673
102,Brent,2010-2011,00AE,0,0.707514450867052
103,Brent,2010-2011,00AE,1,0.12369942196531794
